facility,accessibility_month_1,accessibility_month_2,accessibility_month_3,accessibility_month_4,accessibility_month_5,accessibility_month_6,accessibility_month_7,accessibility_month_8,accessibility_month_9,accessibility_month_10,accessibility_month_11,accessibility_month_12
nseluka,1,1,1,1,1,1,1,1,1,1,1,1
peleti,0,0,0,1,1,1,1,1,1,1,1,0.5
rosa,1,1,1,1,1,1,1,1,1,1,1,1
chibwika,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
chisengi sengi,0.5,0.5,1,1,1,1,1,1,1,1,0.75,0.5
chiwoma,0.75,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5
ikelenge,0.75,0.75,1,1,1,1,1,1,1,1,1,0.75
jimbe,0.5,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5
kafweku,0.5,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
kakoma,0.25,0.25,0.25,0.5,0.75,1,1,1,1,1,0.5,0.25
kalene (kawota),1,1,1,1,1,1,1,1,1,1,1,1
kamapanda,0.25,0.25,0.5,0.75,1,1,1,1,1,1,0.5,0.25
kanyihampa,1,1,1,1,1,1,1,1,1,1,1,1
kanyama,0.5,0.5,0.75,1,1,1,1,1,1,1,1,0.5
kanzenzi,0.75,0.5,1,1,1,1,1,1,1,1,0.75,0.5
kapundu,0.5,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5
katuyola,1,1,1,1,1,1,1,1,1,1,1,1
kayipaka,0.25,0.25,0.5,0.75,1,1,1,1,1,1,0.75,0.5
kazozu,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.25
lumwana,1,1,1,1,1,1,1,1,1,1,1,1
lwawu,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
mukangala,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
musangila,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
ntambu sachitolu,0.25,0.25,0.5,1,1,1,1,1,1,1,0.75,0.25
nyangombe,1,1,1,1,1,1,1,1,1,1,1,1
sachibondu,1,1,1,1,1,1,1,1,1,1,1,1
sailunga,1,1,1,1,1,1,1,1,1,1,1,1
sakapoti,0.5,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5
salujinga,0.25,0.5,0.5,1,1,1,1,1,1,1,0.75,0.5
tom ilunga,0.25,0.5,0.5,1,1,1,1,1,1,1,0.75,0.25
chanka,1,1,1,1,1,1,1,1,1,1,1,1
chilolwa,1,1,1,1,1,1,1,1,1,1,1,1
chozi,1,1,1,1,1,1,1,1,1,1,1,1
mwenzo,1,1,1,1,1,1,1,1,1,1,1,1
nakonde,1,1,1,1,1,1,1,1,1,1,1,1
ntatumbila,1,1,1,1,1,1,1,1,1,1,1,1
shem,1,1,1,1,1,1,1,1,1,1,1,1
waitwika,1,1,1,1,1,1,1,1,1,1,1,1
kaanja,1,1,1,1,1,1,1,1,1,1,1,1
kaunga mashi,1,0,0,0,0.75,1,1,1,1,1,1,1
mbanda,0.75,0,0,0,0.75,1,1,1,1,1,1,1
mulonga,1,1,1,1,1,1,1,1,1,1,1,1
mutomena,0.75,0,0,0,0.75,1,1,1,1,1,1,1
nalwashi,1,1,1,1,1,1,1,1,1,1,1,1
nangweshi,1,1,1,1,1,1,1,1,1,1,1,1
shangombo,1,1,0.75,0,1,1,1,1,1,1,1,1
silowana,1,1,0.75,0,1,1,1,1,1,1,1,1
sinjembela,0.75,0,0,0,0.75,1,1,1,1,1,1,1
sioma,1,1,1,1,1,1,1,1,1,1,1,1
sipuma,1,1,0.75,0,1,1,1,1,1,1,1,1
sitoti,1,1,1,1,1,1,1,1,1,1,1,1
